dataset,dim,k,r,eps,M
AQ,9,1,10,0.1024,10
AQ,9,1,20,0.1024,14
AQ,9,1,30,0.0512,16
AQ,9,1,40,0.0256,16
AQ,9,1,50,0.0128,16
AQ,9,1,60,0.0128,18
AQ,9,1,70,0.0128,19
AQ,9,1,80,0.0128,20
AQ,9,1,90,0.0064,20
AQ,9,1,100,0.0064,20
AQ,9,2,50,0.0128,19
AQ,9,3,50,0.0064,20
AQ,9,4,50,0.0004,20
AQ,9,5,50,0.0001,20
BB,5,1,5,0.1024,10
BB,5,1,10,0.0128,10
BB,5,1,15,0.0064,14
BB,5,1,20,0.0001,16
BB,5,1,25,0.0001,17
BB,5,2,10,0.0256,15
BB,5,3,10,0.0128,15
BB,5,4,10,0.0001,20
BB,5,5,10,0.0001,20
CT,8,1,10,0.0256,10
CT,8,1,20,0.0256,14
CT,8,1,30,0.0256,16
CT,8,1,40,0.0128,16
CT,8,1,50,0.0064,16
CT,8,1,60,0.0064,16
CT,8,1,70,0.0064,17
CT,8,1,80,0.0064,18
CT,8,1,90,0.0064,18
CT,8,1,100,0.0064,19
CT,8,2,50,0.0064,15
CT,8,3,50,0.0064,16
CT,8,4,50,0.0064,17
CT,8,5,50,0.0064,17
Movie,12,1,10,0.0512,14
Movie,12,1,20,0.0512,16
Movie,12,1,30,0.0256,15
Movie,12,1,40,0.0256,16
Movie,12,1,50,0.0256,16
Movie,12,1,60,0.0256,16
Movie,12,1,70,0.0256,18
Movie,12,1,80,0.0128,17
Movie,12,1,90,0.0128,19
Movie,12,1,100,0.0128,19
Movie,12,2,50,0.0128,16
Movie,12,3,50,0.0064,19
Movie,12,4,50,0.0032,20
Movie,12,5,50,0.0001,20
